step_index,solve_time_s
0,0.008307728
1,0.000034662
2,0.000011173
3,0.000011060
4,0.000022694
5,0.000013119
6,0.000008468
7,0.000029519
8,0.000013615
9,0.000008280
10,0.000021360
11,0.000013000
12,0.000007647
13,0.000036833
14,0.000011485
15,0.000009533
16,0.000022896
17,0.000010830
18,0.000010291
19,0.000022808
20,0.000011369
21,0.000009285
22,0.000021491
23,0.000011446
24,0.000006963
25,0.000019446
26,0.000011387
27,0.000007029
28,0.000019796
29,0.000011836
30,0.000007685
31,0.000020030
32,0.000008856
33,0.000009563
34,0.000023447
35,0.000014960
36,0.000007279
37,0.000021612
38,0.000012160
39,0.000011644
40,0.000036836
41,0.000008531
42,0.000006850
43,0.000024780
44,0.000011553
45,0.000007689
46,0.000024289
47,0.000011276
48,0.000008468
49,0.000031202
50,0.000010666
51,0.000006943
52,0.000020048
53,0.000014536
54,0.000006856
55,0.000020384
56,0.000008967
57,0.000007312
58,0.000020708
59,0.000015530
60,0.000006919
61,0.000029168
62,0.000011558
63,0.000009548
64,0.000028369
65,0.000012316
66,0.000009749
67,0.000020653
68,0.000010833
69,0.000006952
70,0.000021464
71,0.000011021
72,0.000008626
73,0.000021491
74,0.000011507
75,0.000006984
76,0.000023397
77,0.000008809
78,0.000010053
79,0.000021382
80,0.000011416
81,0.000007097
82,0.000025366
83,0.000011130
84,0.000011238
85,0.000026866
86,0.000009170
87,0.000007684
88,0.000024000
89,0.000011356
90,0.000007068
91,0.000022405
92,0.000012674
93,0.000007705
94,0.000039244
95,0.000016971
96,0.000007764
97,0.000026648
98,0.000011745
99,0.000008891
100,0.000026436
101,0.000009380
102,0.000007941
103,0.000048647
104,0.000009298
105,0.000008750
106,0.000027059
107,0.000012681
108,0.000013265
109,0.000021586
110,0.000014775
111,0.000007249
112,0.000021751
113,0.000011418
114,0.000017757
115,0.000019394
116,0.000011503
117,0.000009581
118,0.000019287
119,0.000011728
120,0.000009125
121,0.000045171
122,0.000008912
123,0.000011104
124,0.000020253
125,0.000011469
126,0.000008989
127,0.000019980
128,0.000008614
129,0.000006749
130,0.000025464
131,0.000011532
132,0.000006759
133,0.000019928
134,0.000013704
135,0.000010603
136,0.000018932
137,0.000011631
138,0.000008745
139,0.000019883
140,0.000008640
141,0.000007329
142,0.000020230
143,0.000017196
144,0.000009300
145,0.000022699
146,0.000012353
147,0.000006549
148,0.000020772
149,0.000011357
150,0.000008576
151,0.000022143
152,0.000008825
153,0.000006747
154,0.000020756
155,0.000011288
156,0.000007224
157,0.000019807
158,0.000011376
159,0.000007417
160,0.000020023
161,0.000011830
162,0.000007115
163,0.000023014
164,0.000011969
165,0.000006767
166,0.000021405
167,0.000011728
168,0.000007100
169,0.000045730
170,0.000013399
171,0.000009546
172,0.000022542
173,0.000012134
174,0.000009711
175,0.000030467
176,0.000011671
177,0.000008823
178,0.000020100
179,0.000011603
